"time","area","has.laptop","write.code","know.prog","has.data","know.r","can.import","can.clean","can.graph","can.render","can.lm","can.interp","can.pvalue","can.sevsd","can.95ci","can.forloop","self.skills","class.skills","self.excite","class.excite","self.prep","class.prep","learn.concept","learn.r","can.science","should.science","truth.people","not.psychsci","perf.pred","noperf.pred","too.complex","epistemology","consent"
"2025/09/08 12:17:08 PM MDT","developmental, looking into industrial organizational","Yes","Yes","No","Yes","2","Maybe","Could Not Do This","Could Not Do This","No Idea What This Is.","Could Not Do This","Yes","Yes","Maybe","Maybe","No Idea What This Is.","3","4","5","5","4","4","4","3","3","5","2","1","1","5","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/08 12:19:21 PM MDT","Clinical","Yes","Yes","Yes","Yes","3","Yes","Yes","Yes","Maybe","Yes","Yes","Yes","Yes","Maybe","Could Not Do This","2","4","4","3","3","3","4","4","4","3","2","1","1","4","3","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/08 1:43:08 PM MDT","Social / Personality","Yes","Yes","No","No","3","Yes","Maybe","Maybe","Could Not Do This","Maybe","Yes","Yes","Yes","Yes","Could Not Do This","3","3","5","4","4","4","4","4","3","3","3","2","1","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/09 2:29:56 PM MDT","Behavioral and Systems Neuroscience","Yes","Yes","Yes","Yes","3","Yes","Maybe","Yes","Maybe","Maybe","Yes","Yes","Yes","Yes","Yes","4","3","5","5","5","5","5","5","4","4","4","1","3","2","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/09 5:29:25 PM MDT","Social / Personality","Yes","Yes","","Yes","3","Yes","Maybe","Yes","Maybe","Maybe","Maybe","Yes","Yes","Maybe","Maybe","3","3","4","4","4","4","4","4","4","3","3","2","2","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/09 11:32:21 PM MDT","Social / Personality","Yes","Yes","Yes","Yes","3","Yes","Yes","Yes","Maybe","Yes","Maybe","Yes","Maybe","Could Not Do This","Could Not Do This","3","3","4","4","4","4","5","4","5","5","4","1","2","5","5","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/11 10:01:55 PM MDT","Social / Personality","Yes","Yes","Yes","Yes","4","Yes","Yes","Yes","Yes","Maybe","Maybe","Maybe","Yes","Maybe","Yes","4","3","4","5","4","4","4","4","3","3","2","4","1","5","5","Reality and “truth” are made up by people (and scientists); scientific knowledge is just a reflection of our society’s pre-existing beliefs.","yes, you can add my responses to a class dataset."
"2025/09/12 2:09:53 PM MDT","Clinical","Yes","Yes","Yes","Yes","3","Maybe","Maybe","Maybe","Maybe","Maybe","Could Not Do This","Could Not Do This","Maybe","Maybe","Maybe","4","4","5","5","5","5","4","4","3","3","2","1","3","5","5","Reality and “truth” are made up by people (and scientists); scientific knowledge is just a reflection of our society’s pre-existing beliefs.","yes, you can add my responses to a class dataset."
"2025/09/12 2:31:07 PM MDT","Clinical","Yes","Yes","Yes","Yes","3","Maybe","Maybe","Yes","Could Not Do This","Maybe","Yes","Yes","Maybe","Maybe","Yes","3","4","4","4","3","3","4","5","3","3","4","3","3","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/12 2:39:32 PM MDT","Social / Personality","Yes","Yes","Yes","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Maybe","4","4","4","4","5","5","5","5","5","5","5","2","5","2","3","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/12 2:54:38 PM MDT","Developmental","Yes","Yes","Yes","No","2","Maybe","Maybe","Yes","No Idea What This Is.","Maybe","Yes","Maybe","Could Not Do This","Could Not Do This","Maybe","1","4","3","3","2","4","4","2","5","5","3","1","3","4","3","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/12 3:33:14 PM MDT","Developmental","Yes","Yes","Yes","","3","Maybe","Could Not Do This","Maybe","No Idea What This Is.","Maybe","Maybe","Maybe","Could Not Do This","Maybe","Could Not Do This","4","4","5","5","5","5","4","4","4","4","1","1","3","3","5","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/13 10:27:55 AM MDT","Social / Personality","Yes","Yes","Yes","No","3","Maybe","Maybe","Maybe","Could Not Do This","Could Not Do This","Maybe","Could Not Do This","Could Not Do This","Could Not Do This","Maybe","4","5","4","4","3","5","4","3","4","3","4","1","2","4","2","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/13 6:35:48 PM MDT","Clinical","Yes","Yes","Yes","Yes","3","Yes","Could Not Do This","Maybe","Could Not Do This","Could Not Do This","Maybe","Yes","Could Not Do This","Maybe","Maybe","2","4","3","3","3","4","4","3","5","4","3","2","1","4","3","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/14 1:06:27 PM MDT","Developmental","Yes","Yes","No","Yes","2","Yes","Maybe","Yes","No Idea What This Is.","Maybe","Maybe","Maybe","Could Not Do This","Maybe","Maybe","3","4","4","4","3","4","4","3","4","4","3","3","2","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/14 10:28:13 PM MDT","Social / Personality","Yes","Yes","No","Yes","3","Yes","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Could Not Do This","Could Not Do This","3","3","5","5","5","5","5","5","4","4","4","2","3","2","4","There is a REAL TRUTH about what makes people think, feel, and act that we can someday learn.","yes, you can add my responses to a class dataset."
"2025/09/15 12:23:22 AM MDT","Social / Personality","Yes","Yes","Yes","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Could Not Do This","Yes","Yes","4","4","5","5","5","5","5","5","4","3","2","3","1","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/15 12:48:04 AM MDT","Developmental","Yes","Yes","Yes","Yes","3","Maybe","Maybe","Maybe","Could Not Do This","Maybe","Maybe","Maybe","Could Not Do This","Maybe","Yes","3","5","5","5","3","5","4","3","3","5","3","2","4","5","5","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/15 10:51:27 AM MDT","Developmental","Yes","Yes","Yes","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","4","5","5","5","4","5","5","4","5","5","4","1","4","2","2","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/09/15 11:04:10 AM MDT","Clinical","Yes","Yes","Yes","No","2","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","4","5","4","2","3","4","5","3","4","3","2","1","2","4","3","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
