"","ID","T1_PolParty","T1_Age","T1_Gender","T1_Ethnicity","T1_Education","T1c_BFI_2_XS_extravert1","T1c_BFI_2_XS_agreeable1","T1c_BFI_2_XS_conscientious1","T1c_BFI_2_XS_neurotic1","T1c_BFI_2_XS_open1","T1c_BFI_2_XS_extravert2","T1c_BFI_2_XS_agreeable2","T1c_BFI_2_XS_conscientious2","T1c_BFI_2_XS_neurotic2","T1c_BFI_2_XS_open2","T1c_BFI_2_XS_extravert3","T1c_BFI_2_XS_agreeable3","T1c_BFI_2_XS_conscientious3","T1c_BFI_2_XS_neurotic3","T1c_BFI_2_XS_open3","T2_ActPast_Prevent_Self","T2_ActPast_Prevent_Mask","T2_ActPast_Prevent_Sanitize","T2_ActPast_SocialDistance","T2_ActPast_SelfIsolate","T2_ActPresent_Prevent_Self","T2_ActPresent_Prevent_Mask","T2_ActPresent_Prevent_Sanitize","T2_ActPresent_SocialDistance","T2_ActPresent_SelfIsolate","T3_ActPast_Prevent_Self","T3_ActPast_Prevent_Mask","T3_ActPast_Prevent_Sanitize","T3_ActPast_SocialDistance","T3_ActPast_SelfIsolate","T3_ActPresent_Prevent_Self","T3_ActPresent_Prevent_Mask","T3_ActPresent_Prevent_Sanitize","T3_ActPresent_SocialDistance","T3_ActPresent_SelfIsolate","T4_ActPast_Prevent_Self","T4_ActPast_Prevent_Mask","T4_ActPast_Prevent_Sanitize","T4_ActPast_SocialDistance","T4_ActPast_SelfIsolate","T4_ActPresent_Prevent_Self","T4_ActPresent_Prevent_Mask","T4_ActPresent_Prevent_Sanitize","T4_ActPresent_SocialDistance","T4_ActPresent_SelfIsolate","T5_ActPast_Prevent_Self","T5_ActPast_Prevent_Mask","T5_ActPast_Prevent_Sanitize","T5_ActPast_SocialDistance","T5_ActPast_SelfIsolate","T5_ActPresent_Prevent_Self","T5_ActPresent_Prevent_Mask","T5_ActPresent_Prevent_Sanitize","T5_ActPresent_SocialDistance","T5_ActPresent_SelfIsolate","T6_ActPast_Prevent_Self","T6_ActPast_Prevent_Mask","T6_ActPast_Prevent_Sanitize","T6_ActPast_SocialDistance","T6_ActPast_SelfIsolate","T6_ActPresent_Prevent_Self","T6_ActPresent_Prevent_Mask","T6_ActPresent_Prevent_Sanitize","T6_ActPresent_SocialDistance","T6_ActPresent_SelfIsolate"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,2,3,3,4,1,3,4,4,4,4,2,4,4,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,26,1,1,6,3,2,1,0,1,2,1,4,0,1,1,3,2,4,2,3,0,3,3,4,2,0,3,3,4,0,0,1,2,4,2,3,2,4,4,0,0,0,0,4,4,4,4,4,4,3,3,1,2,4,3,3,1,3,4,0,4,1,3,0,2,4,1,2,1
"3",3,2,23,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,3,40,1,5,7,2,3,0,1,4,4,1,0,0,0,4,2,4,3,4,4,0,4,4,2,4,0,4,4,3,4,1,4,3,0,4,1,4,3,0,4,1,3,3,0,4,1,3,3,0,4,1,4,2,0,4,1,4,2,0,4,2,4,3,0,4,2,4,3,0
"5",5,2,39,2,1,6,3,3,1,1,0,2,1,0,1,1,1,1,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"6",6,2,28,2,2,6,4,3,0,3,3,0,1,1,3,1,2,4,3,1,3,4,0,3,3,3,4,2,4,4,2,3,3,2,3,1,4,4,4,4,1,4,3,3,4,2,4,4,4,4,2,4,3,3,3,1,4,4,4,4,1,4,3,3,3,1,4,4,3,4,1
"7",7,2,30,2,1,5,1,4,1,3,4,1,0,1,1,0,2,2,4,1,3,4,0,2,4,3,4,1,2,4,3,4,3,3,4,4,4,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4
"8",8,2,35,2,4,5,4,3,3,2,4,0,0,1,2,0,1,2,2,3,3,2,1,2,4,3,4,2,2,4,4,2,1,3,4,4,3,4,4,4,4,4,2,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,3,32,2,2,5,3,1,2,4,4,1,2,3,3,1,1,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,4,4,1,0,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,2,22,2,1,5,4,2,1,4,4,0,4,4,4,1,1,0,1,1,4,4,0,4,4,0,4,1,4,4,2,4,1,1,4,4,2,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,3,52,2,5,6,3,3,1,3,3,1,1,1,2,1,1,1,3,1,2,4,0,2,4,3,4,2,3,4,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,0,4,4,4,4,0,4,4,3,4,2,4,4,4,4,2,4,4,3,4,2,4,4,4,4,2
"12",12,3,42,2,2,6,3,1,0,2,0,2,2,1,0,4,0,1,3,4,0,3,0,0,3,2,3,2,1,3,2,3,0,0,4,4,3,1,0,4,2,2,2,0,2,2,3,1,0,2,1,2,2,0,2,0,2,1,0,2,0,3,3,0,2,0,4,3,0,2,0
"13",13,2,36,2,1,4,3,3,0,2,4,2,1,0,1,0,2,1,3,3,4,3,2,3,3,3,4,2,4,3,3,4,3,4,3,4,4,4,3,3,3,3,4,3,2,3,3,4,3,2,2,4,4,3,3,3,4,4,4,3,3,3,4,3,2,3,4,4,3,2,3
"14",14,2,41,2,1,5,3,3,2,3,1,2,1,2,3,2,3,2,3,2,2,3,0,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"15",15,4,45,2,1,6,3,4,3,1,4,1,1,1,3,0,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,3,4,3,4,4,3,4,3
