"time","has.laptop","write.code","know.prog","has.data","know.r","can.import","can.clean","can.graph","can.render","can.lm","can.interp","can.pvalue","can.sevsd","can.95ci","can.forloop","self.skills","class.skills","self.excite","class.excite","self.prep","class.prep","learn.concept","learn.r","can.science","should.science","truth.people","not.psychsci","perf.pred","noperf.pred","too.complex","epistemology","consent"
"2025/01/17 3:43:14 PM PST","Yes","Yes","Yes","No","3","Yes","Yes","Yes","Maybe","No","Maybe","Yes","No","Maybe","Maybe","4","4","5","4","5","5","5","5","4","4","3","1","1","5","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/17 3:53:37 PM PST","Yes","Yes","Yes","Yes","3","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Maybe","No","4","4","5","5","3","4","4","5","4","5","3","2","3","4","3","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/17 4:04:11 PM PST","Yes","Yes","Yes","Yes","2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","5","3","3","3","5","5","4","5","5","5","2","3","2","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/17 4:18:32 PM PST","Yes","Yes","Yes","Yes","2","Yes","Maybe","Yes","Maybe","Yes","Yes","Maybe","Maybe","Maybe","Maybe","3","4","4","4","3","4","3","3","4","3","4","1","2","3","3","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/17 5:15:26 PM PST","Yes","Yes","Yes","Yes","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","5","3","3","3","5","3","5","5","5","5","1","3","1","5","5","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/17 5:25:38 PM PST","Yes","Yes","Yes","No","3","Yes","Yes","Yes","Maybe","Maybe","Yes","Yes","Yes","Yes","Yes","5","4","4","4","4","4","4","5","4","4","4","2","3","4","5","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/17 5:44:44 PM PST","Yes","Yes","Yes","No","3","Yes","Yes","Yes","Maybe","Maybe","Yes","Maybe","Maybe","Maybe","No","4","5","5","5","4","5","4","5","5","3","5","3","4","2","3","There is a REAL TRUTH about what makes people think, feel, and act that we can someday learn.","yes, you can add my responses to a class dataset."
"2025/01/17 6:08:27 PM PST","Yes","Yes","Yes","Yes","3","Yes","Yes","Maybe","Maybe","Maybe","Yes","Maybe","Maybe","Maybe","Yes","3","4","3","3","4","4","4","4","5","5","3","1","2","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/17 7:00:45 PM PST","Yes","Yes","Yes","Yes","3","Yes","Maybe","Yes","No","Yes","Yes","Yes","No","Maybe","Maybe","4","4","5","4","5","5","5","5","3","3","2","4","3","4","4","Reality and “truth” are made up by people (and scientists); scientific knowledge is just a reflection of our society’s pre-existing beliefs.","yes, you can add my responses to a class dataset."
"2025/01/17 7:02:36 PM PST","Yes","Yes","Yes","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Yes","5","5","4","3","5","5","4","5","5","5","3","1","4","4","5","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
