"","T1_Age","T1_Gender","T1_Ethnicity","T1_Education","T1_PolParty","ID","T6_ActPast_Prevent_Self","T6_ActPast_Prevent_Mask","T6_ActPast_Prevent_Sanitize","T6_ActPast_SocialDistance","T6_ActPast_SelfIsolate","T6_ActPresent_Prevent_Self","T6_ActPresent_Prevent_Mask","T6_ActPresent_Prevent_Sanitize","T6_ActPresent_SocialDistance","T6_ActPresent_SelfIsolate","T6_BFI_2_XS_extravert1","T6_BFI_2_XS_agreeable1","T6_BFI_2_XS_conscientious1","T6_BFI_2_XS_neurotic1","T6_BFI_2_XS_open1","T6_BFI_2_XS_extravert2","T6_BFI_2_XS_agreeable2","T6_BFI_2_XS_conscientious2","T6_BFI_2_XS_neurotic2","T6_BFI_2_XS_open2","T6_BFI_2_XS_extravert3","T6_BFI_2_XS_agreeable3","T6_BFI_2_XS_conscientious3","T6_BFI_2_XS_neurotic3","T6_BFI_2_XS_open3"
"1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",41,1,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",52,2,2,5,1,3,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,0,0,1,3,0,1,4,4,3,4
"4",60,1,2,6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",39,2,2,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",28,1,2,6,1,6,1,3,0,2,0,1,3,0,2,0,1,0,2,1,0,2,3,3,1,2,2,0,3,3,1
"7",35,2,5,7,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",68,2,2,5,2,8,4,4,3,4,4,4,4,3,4,4,3,3,1,1,3,3,2,1,3,1,1,1,1,2,3
"9",60,1,2,4,1,9,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,2,0,0,4,0,4,4,4,2
"10",28,1,2,7,1,10,4,3,3,3,2,4,3,3,2,2,1,3,0,0,2,3,1,0,0,0,3,1,3,3,3
"11",66,1,2,5,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",50,1,2,7,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",43,1,2,6,1,13,4,4,4,4,2,4,4,4,4,2,3,3,0,0,3,3,1,0,0,1,3,2,4,3,4
"14",33,1,2,4,1,14,4,0,4,4,4,4,0,4,4,4,3,4,1,4,4,2,2,1,4,4,0,2,4,0,4
"15",64,1,2,6,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",23,2,2,6,2,16,3,4,2,2,3,4,4,2,2,2,0,4,3,4,4,0,0,1,1,1,3,4,4,0,1
"17",45,2,5,5,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",41,1,2,6,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",35,1,2,6,1,19,4,2,1,1,2,4,2,0,2,2,4,1,1,4,0,2,2,3,4,1,0,0,4,3,3
"20",62,2,2,4,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",25,2,2,6,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",50,1,2,7,2,22,4,4,2,4,2,4,4,3,4,2,3,4,1,0,4,0,0,0,0,0,2,4,4,4,4
"23",27,1,5,6,2,23,4,4,2,4,4,4,4,2,4,4,4,4,0,2,2,2,1,2,3,1,1,1,4,4,2
"24",30,1,2,6,2,24,3,3,2,3,2,4,4,4,4,2,3,2,0,1,2,2,3,1,2,1,1,2,4,3,3
"25",30,2,2,6,2,25,3,3,3,3,1,4,4,4,4,2,0,2,2,4,0,1,2,1,1,4,2,2,2,2,1
"26",47,1,5,5,1,26,3,4,3,3,3,4,4,4,4,4,4,2,0,0,1,2,2,0,0,1,3,2,3,4,3
"27",70,1,2,6,2,27,3,3,2,4,2,4,4,2,4,2,1,3,0,0,3,2,1,0,0,0,3,2,3,3,2
"28",40,1,2,6,2,28,3,3,2,2,2,4,4,3,2,2,2,3,0,3,3,2,2,1,1,1,2,3,4,3,3
"29",70,1,2,7,4,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",45,1,2,7,1,30,4,1,2,2,0,4,1,3,2,0,2,2,2,1,1,3,1,1,1,1,2,3,3,4,3
"31",45,1,2,6,1,31,4,3,1,4,3,4,4,1,4,4,4,2,4,3,3,1,2,3,1,0,0,0,2,1,3
